addr	size	name	confidence	args	ret	callers	callees	frame	saved	tags
0x800123E0	96	func_800123E0	high	1	u32	1	0	0		leaf|gp
0x80012440	288	func_80012440	high	2	u32	1	0	0		leaf|gp
0x80012560	8	func_80012560	high	0	void	1	0	0		leaf
0x80012568	48	func_80012568	high	1	u32	1	0	0		leaf
0x80012598	3548	func_80012598	high	0	u32	1	5	0	s0|s1|s2|ra	gp
0x80013374	208	func_80013374	high	0	u32	1	1	0	ra	gp
0x80013444	404	func_80013444	verified	2	u32	3	2	56	s0|s1|s2|s3|s4|s5|s6|s7|ra	
0x800135D8	340	func_800135D8	verified	1	u32	1	2	48	s0|s1|ra	indirect
0x80013838	568	func_80013838	verified	1	u32	2	2	32	s0|s1|ra	
0x80013A70	424	func_80013A70	verified	1	u32	1	2	32	s0|s1|s2|ra	
0x80013C18	12008	func_80013C18	high	1	u32	3	35	0	s0|s1|s2|s3|s4|s5|s6|s7|fp|ra	gte|break|gp|addr_taken
0x80016B00	968	func_80016B00	verified	4	u32	2	2	40	s0|s1|s2|s3|ra	gp
0x80016EC8	356	func_80016EC8	verified	2	u32	1	1	48	s0|s1|s2|s3|ra	
0x8001702C	312	func_8001702C	verified	1	u32	2	3	32	s0|s1|ra	gp
0x80017164	436	func_80017164	verified	1	u32	1	6	40	s0|s1|s2|s3|ra	
0x80017318	692	func_80017318	verified	1	u32	4	8	32	s0|s1|s2|ra	
0x800175CC	4176	func_800175CC	verified	4	u32	1	2	64	s0|s1|s2|s3|s4|s5|s6|s7|fp|ra	break
0x8001861C	508	func_8001861C	verified	1	u32	1	0	8	s0|s1	leaf
0x80018818	144	func_80018818	verified	4	u32	1	2	40	s0|s1|s2|s3|ra	
0x800188A8	624	func_800188A8	medium	4	u32	1	2	32	s0|s1|ra	orphan
0x80018B18	136	func_80018B18	low	0	u32	0	0	0		leaf|orphan
0x80018D20	124	func_80018D20	high	1	u32	1	0	0		leaf
0x80018D9C	156	func_80018D9C	verified	2	u32	1	1	24	s0|ra	
0x80018E38	136	func_80018E38	high	1	u32	2	1	0	ra	
0x80018EC0	300	func_80018EC0	medium	1	u32	1	1	56	s0|s1|s2|ra	orphan
0x80018FEC	316	func_80018FEC	low	4	u32	1	0	0		leaf|orphan
0x80019128	928	func_80019128	medium	4	u32	0	3	64	s0|s1|s2|s3|s4|s5|ra	gte|orphan
0x800194C8	1072	func_800194C8	low	4	u32	1	7	0	s0|s1|s2|s3|s4|s5|ra	break|orphan
0x800198F8	1412	func_800198F8	medium	4	u32	0	2	64	s0|s1|s2|s3|s4|s5|s6|ra	break|orphan
0x80019E7C	220	func_80019E7C	medium	4	u32	1	2	32	s0|s1|ra	orphan
0x80019F58	252	func_80019F58	medium	4	u32	1	3	40	s0|s1|s2|s3|ra	orphan
0x8001A0BC	4504	func_8001A0BC	medium	4	u32	0	10	96	s0|s1|s2|s3|s4|s5|ra	gte|break|orphan
0x8001B254	224	func_8001B254	verified	3	u32	1	1	48	s0|s1|ra	gte
0x8001C360	192	func_8001C360	verified	1	u32	1	5	24	ra	gp
0x8001C420	80	func_8001C420	verified	2	u32	1	2	48	s0|ra	
0x8001C470	132	func_8001C470	high	0	u32	8	4	0	ra	gp
0x8001C4F4	120	func_8001C4F4	high	0	u32	2	3	0	s0|ra	gp
0x8001C56C	568	func_8001C56C	high	1	u32	1	4	0	s0|s1|s2|s3|ra	gp
0x8001C9E4	128	func_8001C9E4	verified	0	u32	1	5	24	ra	gp
0x8001CA64	52	func_8001CA64	verified	0	void	1	3	24	ra	gp
0x8001CA98	328	func_8001CA98	low	0	u32	0	0	0		leaf|gp|orphan
0x8001CBE0	56	func_8001CBE0	high	1	u32	3	0	0		leaf|gp
0x8001CC18	264	func_8001CC18	high	3	u32	1	4	0	s0|s1|s2|s3|ra	gp
0x8001CD20	148	func_8001CD20	high	2	u32	2	1	0	s0|s1|ra	gp
0x8001CDB4	484	func_8001CDB4	high	2	u32	4	7	0	s0|s1|s2|ra	gp
0x8001CF98	84	func_8001CF98	high	0	u32	3	0	0		leaf|gp
0x8001CFEC	128	func_8001CFEC	high	0	u32	2	3	0	ra	gp
0x8001D06C	40	func_8001D06C	high	0	u32	1	1	0	ra	gp
0x8001D094	48	func_8001D094	high	1	u32	3	0	0		leaf
0x8001D0C4	1356	func_8001D0C4	verified	2	u32	1	1	56	s0|s1|s2|s3|s4|s5|s6|s7|ra	gte|break
0x8001D610	364	func_8001D610	verified	2	u32	1	1	32	s0|s1|s2|ra	addr_taken
0x8001D77C	456	func_8001D77C	verified	3	u32	1	2	24	ra	
0x8001EB0C	224	func_8001EB0C	low	4	u32	4	0	0		leaf
0x8001EBEC	504	func_8001EBEC	high	4	u32	3	0	0		gp|indirect
0x8001EDE4	312	func_8001EDE4	low	4	u32	1	0	0		leaf|gte|orphan
0x8001EF50	36	func_8001EF50	low	2	u32	1	0	0		leaf|orphan
0x8001EF74	872	func_8001EF74	low	4	u32	0	0	0		leaf|gte|orphan
0x8001F2DC	320	func_8001F2DC	low	4	u32	2	0	0		leaf|gte|orphan
0x8001F41C	468	func_8001F41C	medium	2	u32	1	3	32	s0|s1|s2|ra	orphan
0x8001F67C	116	func_8001F67C	medium	2	u32	2	2	20	ra	orphan
0x8001F6F0	256	func_8001F6F0	medium	2	u32	2	2	20	ra	orphan
0x8001F7F0	312	func_8001F7F0	low	1	u32	2	0	0		leaf|orphan
0x8001F928	792	func_8001F928	low	4	u32	1	1	0	ra	orphan
